,deck_code,region_1,region_2,champion_1,champion_2,champion_3,champion_4,matches_played
131,CIBQCAQGCYEACAABBEKRUHJHFMZQGAQAAMDASAIBAIAAOAICAEAAWEQ,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,91
132,CIBQCAQGCYEACAABBELB2JJGE4VQEAQABEFAGAICAYEACAIACUAQEAAHAEAQEAAI,Bilgewater,Demacia,Miss Fortune,Lucian,None,None,90
133,CIBAKAIECANTENBYA4AQAGA2EESSQKRPAEAQEAAHAIAQCBBRAEBAABI,Piltover & Zaun,Demacia,Heimerdinger,Lux,None,None,89
134,CIBAEAIEEQ2AUAQGAQEAWFA2DQQS2MJ2AIAQCBA3AEBAMHIA,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,88
135,CIBQEAIFDUUAEAQFBAFAKAQGDUTS6NJYAMBAEBRFFQBACBIZGYAQEBIHAIBACBJLFYAQEBID,Shadow Isles,Bilgewater,Maokai,Nautilus,None,None,87
136,CICACAIDAQBQEAYBA4EQIAIBAMCBMMQEAIAQCAQGA4AQEAQDAMEAA,Noxus,Freljord,Swain,Sejuani,None,None,86
137,CIBQCAICAMCACBIEC4VDCAQCAUAQIAQCAEBAEMIFAECQYFI6FAYAGAIBAIMAGAIFAMDRIAICAUEA,Ionia,Shadow Isles,Hecarim,Kalista,Maokai,None,86
138,CIBQCAIFFABAEBIIBIDAEBQ5E4WC6NJYAMBAEBRFGYBQCBIZDU3ACAQFA4AQCAQFAM,Shadow Isles,Bilgewater,Maokai,Nautilus,None,None,86
139,CIBQGAQGCANCWCABAQAQYHBHFAWTINYBAICAGAQBAECBUAICAYDQA,Bilgewater,Piltover & Zaun,Twisted Fate,Jinx,None,None,86
140,CIBAGAQDAMDQSCICAYCAQCY2DQQS2MJ2AEAQEBQUAIAQCAYEAEBAGAI,Noxus,Bilgewater,Swain,Twisted Fate,None,None,85
141,CICAGAIABQHRUAICAAFAKAIBBAERAGJVAIBACAYHAIBACAAGGEAQEAABAEAQCAJL,Demacia,Freljord,Garen,Braum,None,None,85
142,CIBAQAIFBEHBAKBKFMYTIAICAUCAEAQBAIBDCBABAUBRIHJWAEAQCAQY,Shadow Isles,Ionia,Hecarim,Thresh,None,None,85
143,CIAQIAQGAULC2PQDAUAQGCYYFIWDOBQCAYAQQFI3EY5ACAQDBABACAQGEABQCAYNCYZQ,Bilgewater,Noxus,Miss Fortune,Katarina,Gangplank,None,84
144,CIBAGAIDAQPSCBQBAEBQWFRGFEYAGAQBAMMDKAYBAECB4KQBAIAQEAIBAEBTG,Noxus,Freljord,Ashe,Sejuani,None,None,84
145,CIBQGAIDCQXDOAICAMEQQAIEAENR6JBHGE2DUAQBAEBRMAICAQDAA,Noxus,Piltover & Zaun,Draven,Ezreal,None,None,83
146,CIBQGAIDAQPSCBYBAEBQWFQ6EYUTAAICAEBAEAQBAECCUAICAEDQCAIBAM2Q,Noxus,Freljord,Ashe,Sejuani,None,None,83
147,CIAAABASAECQCAYPCQMRUHJBEMUCWMJSGQ2TMNZYAEBAKAISAEAQCAYEA4EQWEQUCYLRQHREEYUSUMBSAMBACAQGA4,Shadow Isles,Freljord,Thresh,Elise,Braum,Anivia,82
148,CIBQGAIBAQLCABQBAQEBSJZUGU5AEAQEA4EQEAICAQFAEAQBAIFACAIBAQNA,Freljord,Piltover & Zaun,Teemo,Sejuani,None,None,82
149,CIBQIAIFAEBR2MIFAEAQGCIUDAZACAQBA4AQKAIFB4KCAKBLAA,Shadow Isles,Freljord,Braum,Anivia,None,None,82
150,CIBQEAIFDUUACAQFBICQEBQ5EUTS6OADAMBAMKJMGUBACBIZGYBAEBIHBABACAIFGQAQEBID,Shadow Isles,Bilgewater,Nautilus,Maokai,Thresh,None,81
151,CIBQKAIDAQMBUHZBAUAQCCYWDYTDAAICAEBAEAIBAM2QEAIBAQVACAIBAMZQ,Noxus,Freljord,Ashe,Sejuani,None,None,81
152,CIBAIAIBAQLDAMQFAECA2JZIFU2AGAQBAEOR4AYBAQAQYJQBAICAMAIBAECBC,Freljord,Piltover & Zaun,Jinx,None,None,None,80
153,CIBAEAIEEQ2AIAQGBAFSALIDAQAQIHZHGAZQCAQEAYDAEBQCAQJBIHB2AA,Piltover & Zaun,Bilgewater,Ezreal,Gangplank,None,None,80
154,CIBQKAIEBAMRWNB2AQAQCBALCYQAGAQBAICQUAQBAECDKAICAEEAA,Piltover & Zaun,Freljord,Teemo,Sejuani,None,None,79
155,CIBAIAIDAMKCGJYIAECACDANDQTCOKBNAIAQCAYLAEAQINAA,Noxus,Piltover & Zaun,Draven,Jinx,None,None,79
